,Tweet ID
318,1322543347236438016
319,1322536634085187588
320,1322531268152729601
321,1322519943167021056
322,1322512392937525249
323,1322504843244744704
324,1322493526878253057
325,1322380775715598336
326,1322372724220600320
327,1322365174288797696
328,1322356364828569602
329,1322347053670825984
330,1322342775518457856
331,1322329396263354368
332,1322320377943527424
333,1322312941891395585
334,1322304775740887042
335,1322299741804195841
336,1322282861093744640
337,1322278350933688320
338,1322270801370902528
339,1322254443644026880
340,1322247900286513152
341,1322234732235513856
342,1322229277887238145
343,1322215436524670976
344,1322209648418672642
345,1322196873487286276
346,1322194045612032002
347,1322168741111672832
348,1321983911057129472
349,1321967552965218305
350,1321960506425450496
351,1321949962494636032
352,1321942639109918720
353,1321933578897248256
354,1321926461054423040
355,1321915963399352321
356,1321910929806819328
357,1321904638992396288
358,1321900863351238659
359,1321895830173945856
360,1321889541343641601
361,1321878691081723904
362,1321863115680567297
363,1321858836626579456
364,1321844492362633216
365,1321829393099034629
366,1321823865165778944
367,1321823864213721094
368,1321807498492354561
369,1321627814345560065
370,1321622781210087425
371,1321617748527513602
372,1321606423495823361
373,1321600635222052866
374,1321586217956397058
375,1321576224624414721
376,1321563893001408512
377,1321554078376226818
378,1321537217441996800
379,1321532184285642753
380,1321522117754658816
381,1321512059029213185
382,1321507018516156419
383,1321499468571684864
384,1321491263334436864
385,1321480303819501575
386,1321474305004236800
387,1321467717694693376
388,1321457349836550151
389,1321255611795951618
390,1321250327190908931
391,1321245411789733893
392,1321240263663194114
393,1321233199062810624
394,1321232710711582720
395,1321223902849323008
396,1321216353164931072
397,1321188769173700608
398,1321174829328990212
399,1321169796420018178
400,1321164380080381952
401,1321145611475824640
402,1321138590789726209
403,1321119685358669824
404,1321112418487971842
405,1321095557289529350
406,1321083729096413185
407,1320936509038624769
408,1320933992443465728
409,1320865455159025680
410,1320857739959193601
411,1320850190325194754
412,1320836600805416961
413,1320822759933550592
414,1320812441551343616
415,1320800754228170756
416,1320787278147403776
417,1320784852266999808
